# file	expected-exit	stdin	args	expected-stdout
EmptyMain.range	0	-	-	-
PrintString.range	0	-	-	Hello from Range\n
PrintInterpolatedString.range	0	-	-	ready true\n
PrintPrimitiveValues.range	0	-	-	7\n2.500000\ntrue\n
PrintReadFile.range	0	-	-	Range read works\n\n
PrintReadLine.range	0	hello\n	-	hello\n
PrintStringArrayFirst.range	0	-	-	Hello from Range array\n
ReturnInteger.range	7	-	-	-
ReturnIntegerArithmetic.range	7	-	-	-
ReturnFunctionCall.range	7	-	-	-
ReturnVoidFunctionCall.range	6	-	-	-
ReturnDiscardedFunctionCall.range	7	-	-	-
ReturnConstructField.range	5	-	-	-
ReturnConstructStringFieldCount.range	5	-	-	-
ReturnConstructDefaultFields.range	7	-	-	-
ReturnConstructFieldAssignment.range	7	-	-	-
ReturnConstructFunction.range	5	-	-	-
ReturnConstructOptionalArrayFieldAssignmentNil.range	0	-	-	-
ReturnConstructParameter.range	5	-	-	-
ReturnConstructedInteger.range	9	-	-	-
ReturnArrayCount.range	3	-	-	-
ReturnArrayIndex.range	2	-	-	-
ReturnArrayFromFunction.range	3	-	-	-
ReturnArrayParameter.range	2	-	-	-
ReturnArrayAppendMember.range	0	-	-	-
ReturnArrayAppendEmptyMember.range	0	-	-	-
ReturnArrayClearMember.range	0	-	-	-
ReturnArrayElementMember.range	0	-	-	-
ReturnArrayFirstEmptyMember.range	0	-	-	-
ReturnArrayRemoveMember.range	0	-	-	-
ReturnArrayFirstMember.range	0	-	-	-
ReturnArrayInsertMember.range	0	-	-	-
ReturnArrayIsEmpty.range	0	-	-	-
ReturnArrayLastMember.range	0	-	-	-
ReturnArrayRemoveLastEmptyMember.range	0	-	-	-
ReturnArrayRemoveLastMember.range	0	-	-	-
ReturnEnumSwitch.range	3	-	-	-
ReturnEnumFunctionSwitch.range	2	-	-	-
ReturnAssociatedEnumPayload.range	7	-	-	-
ReturnRecursiveBindingEnumSwitch.range	7	-	-	-
ReturnAssociatedStringEnumPayload.range	5	-	-	-
ReturnEnumArrayPayload.range	6	-	-	-
ReturnEnumBindingAssignment.range	12	-	-	-
ReturnEnumNoPayloadCaseEquality.range	1	-	-	-
ReturnEnumNoPayloadCaseInequality.range	1	-	-	-
ReturnGenericResultPayload.range	9	-	-	-
ReturnGenericResultArrayPayload.range	8	-	-	-
ReturnWhile.range	3	-	-	-
ReturnBreak.range	4	-	-	-
ReturnContinue.range	3	-	-	-
ReturnIf.range	6	-	-	-
ReturnStringSubstring.range	0	-	-	-
ReturnStringCharacter.range	0	-	-	-
ReturnStringIsEmpty.range	0	-	-	-
ReturnStringSwitch.range	2	-	-	-
ReturnForEachArraySum.range	6	-	-	-
ReturnGenericIdentity.range	11	-	-	-
ReturnNestedGenericConstructField.range	21	-	-	-
ReturnNestedGenericConstructArrayField.range	25	-	-	-
ReturnDefaultArgument.range	12	-	-	-
ReturnDynamicArrayIndex.range	2	-	-	-
ReturnOptionalNilCoalescing.range	9	-	-	-
ReturnOptionalEnumCoalescing.range	5	-	-	-
ReturnOptionalArrayCoalescing.range	8	-	-	-
ReturnBool.range	1	-	-	-
ReturnBoolFunctionCall.range	1	-	-	-
ReturnBoolParameterFunctionCall.range	9	-	-	-
ReturnBooleanLogic.range	1	-	-	-
ReturnBooleanLogicState.range	0	-	-	-
ReturnBooleanNotState.range	0	-	-	-
ReturnFloatComparison.range	1	-	-	-
ReturnFloatArrayElement.range	1	-	-	-
ReturnFloatConstructorExpressionState.range	0	-	-	-
ReturnFloatRemainder.range	1	-	-	-
ReturnIntegerComparison.range	1	-	-	-
ReturnIntegerLocal.range	5	-	-	-
ReturnIntegerStateAssignment.range	7	-	-	-
ReturnIntegerSwitch.range	20	-	-	-
ReturnFloatSwitch.range	15	-	-	-
ReturnFileExists.range	1	-	-	-
ReturnReadFileLength.range	17	-	-	-
ReturnReadFileIfExists.range	0	-	-	-
ReturnReadFileIfMissing.range	0	-	-	-
ReturnReadFileEquals.range	1	-	-	-
ReturnReadFileLessThan.range	1	-	-	-
ReturnReadLineLength.range	0	hello\n	-	-
ReturnReadLineEquals.range	0	hello\n	-	-
ReturnCommandLineArgument.range	0	-	alpha	-
ReturnCommandLineArgumentCount.range	0	-	alpha beta	-
ReturnCommandLineMissingArgument.range	0	-	alpha beta	-
ReturnDeferPrint.range	0	-	-	done\n
WriteReadFile.range	0	-	-	Range write works\n
ReturnConstructArrayAppendMember.range	0	-	-	-
ReturnConstructArrayAppendEmptyMember.range	0	-	-	-
ReturnConstructArrayAppendLastBoxMember.range	0	-	-	-
ReturnConstructArrayClearMember.range	0	-	-	-
ReturnConstructArrayFieldIndex.range	2	-	-	-
ReturnConstructArrayInsertMember.range	0	-	-	-
ReturnConstructArrayLastBoxMember.range	0	-	-	-
ReturnConstructArrayLastMember.range	0	-	-	-
ReturnConstructArrayRemoveBoxMember.range	0	-	-	-
ReturnConstructArrayRemoveLastMember.range	0	-	-	-
ReturnConstructArrayRemoveMember.range	0	-	-	-
ReturnConstructEmptyArrayField.range	0	-	-	-
ReturnConstructEmptyArrayFieldAssignment.range	0	-	-	-
ReturnConstructEnumArrayRemoveMember.range	0	-	-	-
ReturnConstructEnumArrayAppendLastMember.range	0	-	-	-
ReturnConstructEnumArrayLastMember.range	0	-	-	-
ReturnConstructEnumArrayRemoveLastMember.range	0	-	-	-
ReturnConstructStringArrayLastMember.range	0	-	-	-
ReturnNestedConstructFieldAssignment.range	9	-	-	-
ReturnTernaryArrayIndex.range	5	-	-	-
ReturnTernarySelect.range	3	-	-	-
ReturnDynamicInterpolatedStringLength.range	7	-	-	-
ReturnEmptyArrayCount.range	0	-	-	-
ReturnEnumArrayAppendLastMember.range	0	-	-	-
ReturnEnumArrayBindingIndexedAssignment.range	9	-	-	-
ReturnEnumArrayLastMember.range	0	-	-	-
ReturnEnumArrayRemoveLastMember.range	0	-	-	-
ReturnEnumArrayRemoveMember.range	0	-	-	-
ReturnEnumConstructBindingFieldAssignment.range	13	-	-	-
ReturnForwardedArrayParameter.range	2	-	-	-
ReturnGenericConstructArrayField.range	18	-	-	-
ReturnGenericConstructArrayFieldAssignment.range	19	-	-	-
ReturnGenericConstructField.range	15	-	-	-
ReturnGenericConstructFunctionField.range	16	-	-	-
ReturnGenericFunctionResultPayload.range	14	-	-	-
ReturnInterpolatedStringLength.range	7	-	-	-
ReturnNestedArrayIndex.range	3	-	-	-
ReturnNestedFunctionCall.range	7	-	-	-
ReturnNestedGenericIdentity.range	12	-	-	-
ReturnOptionalArrayAssignmentEmpty.range	0	-	-	-
ReturnOptionalArrayEmptyFallback.range	0	-	-	-
ReturnOptionalAssignmentNil.range	1	-	-	-
ReturnOptionalAssignmentWrapped.range	7	-	-	-
ReturnOptionalConstructCoalescing.range	5	-	-	-
ReturnOptionalConstructFunctionNil.range	1	-	-	-
ReturnOptionalDefaultArgument.range	4	-	-	-
ReturnOptionalEmptyArrayNonnil.range	1	-	-	-
ReturnOptionalEnumAssignmentWrapped.range	7	-	-	-
ReturnOptionalFunctionNil.range	3	-	-	-
ReturnOptionalFunctionParameterNil.range	3	-	-	-
ReturnOptionalFunctionReturnCoalescing.range	7	-	-	-
ReturnOptionalNilComparison.range	1	-	-	-
ReturnOptionalNonnilCoalescing.range	7	-	-	-
ReturnStringArrayAppendLastMember.range	0	-	-	-
ReturnStringArrayFirstMember.range	0	-	-	-
ReturnStringArrayRemoveMember.range	0	-	-	-
ReturnStringConstructorExpressionState.range	0	-	-	-
